Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,EquipmentFailureAnalysis\EquipmentFailureAnalysis.csproj,File,EquipmentFailureAnalysis\EquipmentFailureAnalysis.csproj,,,,,,,,Current target framework: net10.0 Recommended target framework: net11.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,EquipmentFailureAnalysis\EquipmentFailureAnalysis.csproj,File,EquipmentFailureAnalysis\Views\TimelineControl.cs,262,16,M:System.TimeSpan.FromHours(System.Double),,,,,"string lbl = TimeSpan.FromHours(sh).Hours.ToString(""D2"") + "":"" + TimeSpan.FromHours(sh).Minutes.ToString(""D2"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,EquipmentFailureAnalysis\EquipmentFailureAnalysis.csproj,File,EquipmentFailureAnalysis\Views\TimelineControl.cs,262,16,M:System.TimeSpan.FromHours(System.Double),,,,,"string lbl = TimeSpan.FromHours(sh).Hours.ToString(""D2"") + "":"" + TimeSpan.FromHours(sh).Minutes.ToString(""D2"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,EquipmentFailureAnalysis\EquipmentFailureAnalysis.csproj,File,EquipmentFailureAnalysis\ViewModels\MainWindowViewModel.cs,414,24,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"var duration = TimeSpan.FromMinutes(Math.Max(0, eMin - sMin));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,EquipmentFailureAnalysis\EquipmentFailureAnalysis.csproj,File,EquipmentFailureAnalysis\ViewModels\MainWindowViewModel.cs,263,24,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"var duration = TimeSpan.FromMinutes(Math.Max(0, eMin - sMin));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,EquipmentFailureAnalysis\EquipmentFailureAnalysis.csproj,File,EquipmentFailureAnalysis\ViewModels\MainWindowViewModel.cs,414,24,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"var duration = TimeSpan.FromMinutes(Math.Max(0, eMin - sMin));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,EquipmentFailureAnalysis\EquipmentFailureAnalysis.csproj,File,EquipmentFailureAnalysis\ViewModels\MainWindowViewModel.cs,263,24,M:System.TimeSpan.FromMinutes(System.Int64),,,,,"var duration = TimeSpan.FromMinutes(Math.Max(0, eMin - sMin));"
